Quantity,Designator,Package,MPN,Comment
1,U1,VQFN-HR-9 1.5x2mm,TPS54338RQFR,TPS54338 Buck Converter IC
1,L1,TDK VLS6045,VLS6045AF-6R8M,6.8uH 3.9A Inductor
1,CIN1,1210,GRM32ER71H106KA12L,10uF 50V X7R
1,CIN2,0603,GRM188R71H104KA93D,100nF 50V X7R
1,COUT1,1206,GRM31CR61E226KE15L,22uF 25V X7R
1,COUT2,1206,GRM31CR61E226KE15L,22uF 25V X7R
1,CFF1,0402,GRM1555C1H100GA01D,10pF 50V C0G
1,CSS1,0603,GRM188R71H333KA61D,33nF 50V X7R
1,R1,0402,RC0402FR-0745K3L,45.3k 1%
1,R2,0402,RC0402FR-0775KL,75k 1%
1,R3,0402,RC0402FR-07200KL,200k 1%
1,RFBB1,0402,RC0402FR-0710KL,10k 1%
